ip,request_count,max_req_count_5min,avg_req_count_5min,requests_per_second,avg_time_between_requests,unique_endpoints,unique_ids_accessed,status_404_count,max_error_rate_5min,suspicious_ua_ratio,bot_ratio,mobile_ratio,post_frequency,max_repeated_endpoint_hits,login_attempt_count,failed_login_count,failed_login_rate,max_login_req_per_min,avg_time_between_login_attempts,iso_prediction,iso_score_raw
54.36.148.15,3,1,1.0,0.0006907667510937,2171.5,3,19,0,0.0,1.0,1.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.20539364666937326
54.36.148.150,7,2,1.1666666666666667,0.0007631091246048,1528.8333333333333,7,34,0,0.0,1.0,1.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.194086576715092
54.36.148.151,6,2,1.5,0.0007190795781399,1668.8,6,24,0,0.0,1.0,1.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.18957466018492353
54.36.148.152,7,1,1.0,0.0009508285791904,1227.0,7,30,0,0.0,1.0,1.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.20345120001214145
54.36.148.153,4,1,1.0,0.0005581914596706,2388.6666666666665,4,24,0,0.0,1.0,1.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.20977796009231303
54.36.148.154,5,1,1.0,0.0004851072086931,2576.75,5,39,0,0.0,1.0,1.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.19604024291467848
54.36.148.155,3,2,1.5,0.0011164867882396,1343.5,3,21,0,0.0,1.0,1.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.1953754675783232
54.36.148.156,7,2,1.1666666666666667,0.0009428879310344,1237.3333333333333,7,31,0,0.0,1.0,1.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.1973138186737271
54.36.148.157,2,1,1.0,0.0013745704467353,1455.0,2,33,0,0.0,1.0,1.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.20271441086444325
54.36.148.158,6,1,1.0,0.0011580775911986,1036.2,6,29,0,0.0,1.0,1.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.20710434728866306
54.36.148.159,7,1,1.0,0.0008202484180923,1422.3333333333333,7,29,0,0.0,1.0,1.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2044857838790679
54.36.148.16,7,2,1.1666666666666667,0.0008272276057669,1410.3333333333333,7,37,0,0.0,1.0,1.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.19581845971128387
54.36.148.160,4,1,1.0,0.0005148667782211,2589.6666666666665,4,21,0,0.0,1.0,1.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.20861444269552026
54.36.148.161,5,1,1.0,0.0008169934640522,1530.0,5,26,0,0.0,1.0,1.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.21337410847199295
