ip,request_count,max_req_count_5min,avg_req_count_5min,requests_per_second,avg_time_between_requests,unique_endpoints,unique_ids_accessed,status_404_count,max_error_rate_5min,suspicious_ua_ratio,bot_ratio,mobile_ratio,post_frequency,max_repeated_endpoint_hits,login_attempt_count,failed_login_count,failed_login_rate,max_login_req_per_min,avg_time_between_login_attempts
5.215.212.90,3,2,1.5,0.031914893617021274,47.0,3,7,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.215.53.245,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.215.57.164,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.215.70.145,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.215.77.94,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.216.105.175,1,1,1.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.216.112.30,2,1,1.0,0.006309148264984227,317.0,2,6,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.216.121.100,20,20,20.0,2.5,0.42105263157894735,20,27,0,0.05,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.216.176.186,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.216.185.126,2,2,2.0,1.0,2.0,2,15,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.216.206.95,2,1,1.0,0.030303030303030304,66.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.216.236.121,2,1,1.0,0.006711409395973154,298.0,2,6,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.216.243.157,4,2,1.3333333333333333,0.002577319587628866,517.3333333333334,4,11,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.216.255.215,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.216.54.245,3,2,1.5,0.005025125628140704,298.5,3,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.216.86.54,1,1,1.0,1.0,0.0,1,2,0,1.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.217.101.104,3,3,3.0,1.5,1.0,3,7,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.217.167.163,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.217.18.26,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
5.217.191.165,4,2,2.0,0.022222222222222223,60.0,4,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
5.217.203.9,27,26,13.5,0.22131147540983606,4.6923076923076925,26,42,0,0.0,0.0,0.0,1.0,0.0,2,0,0,0.0,0.0,0.0
5.217.211.97,7,7,7.0,2.3333333333333335,0.5,7,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
