ip,request_count,max_req_count_5min,avg_req_count_5min,requests_per_second,avg_time_between_requests,unique_endpoints,unique_ids_accessed,status_404_count,max_error_rate_5min,suspicious_ua_ratio,bot_ratio,mobile_ratio,post_frequency,max_repeated_endpoint_hits,login_attempt_count,failed_login_count,failed_login_rate,max_login_req_per_min,avg_time_between_login_attempts,iso_prediction,iso_score_raw,dbscan_label,ae_prediction,ae_reconstruction_error,iso_anomaly_score,dbscan_anomaly_score,ae_anomaly_score,risk_score,risk_level
5.115.4.120,4,3,2.0,0.0145985401459854,91.33333333333331,4,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.268018489647983,0,1,0.0032328208686725,0,0,0,0.0,Low
5.115.47.37,2,1,1.0,0.0003016591251885,6630.0,2,7,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.1316746733886787,0,1,1.4908597312679062,0,0,0,0.0,Low
5.115.54.117,138,42,27.6,0.0819477434679334,12.291970802919709,108,104,0,0.0,0.0,0.0,1.0,0.0,14,0,0,0.0,0.0,0.0,1,0.0609606577787007,0,1,0.146314827603006,0,0,0,0.0,Low
5.115.73.41,12,12,12.0,0.6,1.818181818181818,7,1,8,0.6666666666666666,0.0,0.0,1.0,0.0,2,0,0,0.0,0.0,0.0,1,0.0618346673915639,0,1,0.7107225987860932,0,0,0,0.0,Low
5.115.8.239,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053,0,1,0.0022868837414865,0,0,0,0.0,Low
5.115.80.55,2,1,1.0,0.054054054054054,37.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.271070497037411,0,1,0.0027094418564015,0,0,0,0.0,Low
5.115.82.113,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053,0,1,0.0022868837414865,0,0,0,0.0,Low
5.115.90.115,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2745855554154426,0,1,0.0021274561347543,0,0,0,0.0,Low
5.115.98.126,2,2,2.0,2.0,1.0,1,2,0,0.0,0.0,0.0,1.0,0.0,2,0,0,0.0,0.0,0.0,1,0.2305890581906188,0,1,0.0182228233237555,0,0,0,0.0,Low
5.116.107.27,2,2,2.0,0.2857142857142857,7.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2750249841454396,0,1,0.0014977890937209,0,0,0,0.0,Low
5.116.109.170,2,2,2.0,1.0,2.0,2,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2707795082149373,0,1,0.0022835031579933,0,0,0,0.0,Low
5.116.136.115,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2748916486007731,0,1,0.0023729166104672,0,0,0,0.0,Low
5.116.136.6,3,3,3.0,0.15,10.0,3,7,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2731929525023756,0,1,0.0021641289533841,0,0,0,0.0,Low
5.116.142.213,22,22,22.0,0.3188405797101449,3.2857142857142856,22,29,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2222249384539147,0,1,0.0079275859169615,0,0,0,0.0,Low
5.116.144.92,10,10,10.0,10.0,0.0,10,24,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.146482308380092,0,1,0.2958261243520887,0,0,0,0.0,Low
5.116.147.246,3,2,1.5,0.015625,96.0,3,7,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2671686539506226,0,1,0.0033349636056687,0,0,0,0.0,Low
5.116.151.147,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2748916486007731,0,1,0.0023729166104672,0,0,0,0.0,Low
